ACCE_ABSORB_COST	Aufnahmepreis: %d
TOOLTIP_APPLY_ATTBONUS_SURA	Stark gegen Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Stark gegen Untote +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Stark gegen Krieger +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Stark gegen Lykaner + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Blutungsangriff + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Widerstand gegen Blutungsangriff + %d%%	SA
TOOLTIP_APPLY_BLOCK	Chance, Nahkampf-Angriff abzublocken %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	MP im Kampf alle 5 Sek. wiederherstellen %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance auf krit. Treffer +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Chance, MP bei Treffer zurückzuerhalten	SA
TOOLTIP_APPLY_DODGE	%d%% Chance, Pfeilangriff auszuweichen	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance auf EXP-Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance, eine doppelte Menge Yang fallen zu lassen.	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immun gegen Stürzen	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Abwehr gegen Verlangsamen	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Abwehr gegen Ohnmacht	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance, eine doppelte Menge von Gegenständen fallen zu lassen.	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Chance, TP wiederherzustellen	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Chance, MP wiederherzustellen	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Chance auf Manaraub	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Keine Auswirkung
TOOLTIP_APPLY_NO_DEATH_PENALTY	Bei Wiederbelebung des Charakters am Ort des Todes werden keine Erfahrungspunkte abgezogen.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Chance auf durchbohrenden Treffer	SA
TOOLTIP_APPLY_POISON_PCT	Vergiftungschance %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Giftwiderstand %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Trank %d%% Effektzuwachs	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% Chance, Fluch zu reflektieren	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Chance, Nahkampftreffer zu reflektieren	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Abwehrchance gegen Ninjaangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Glockenverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Abwehrchance gegen Krallen + %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dolchverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Fächerverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Abwehrchance gegen Schamanenangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Abwehrchance gegen Suraangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Schwertverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Zweihänderverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Abwehrchance gegen Kriegerangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Windwiderstand %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Abwehrchance gegen Lykaner %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance, aus Büchern zu lernen um Faktor 2,5 verbessert.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Wenn das Lernen fehlschlägt, hast du sofort einen weiteren Versuch frei.	SNA
TOOLTIP_APPLY_SLOW_PCT	Verlangsamungschance %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Schaden wird von TP absorbiert	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Schaden wird von MP absorbiert	SA
TOOLTIP_APPLY_STUN_PCT	Ohnmachtschance %d%%	SA
TOOLTIP_ARMOR	Rüstung
TOOLTIP_ARROW	Pfeil
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Angriffswert +%d	SA
TOOLTIP_ATT_SPEED	Angriffsgeschwindigkeit %d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Angriffsgeschwindigkeit reduziert	SNA
TOOLTIP_AUTO_POTION_HP	Elixier der Sonne
TOOLTIP_AUTO_POTION_REST	Restmenge: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixier des Mondes
TOOLTIP_AUTO_POTION_USING	Aktiv
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Autojagd	SNA
TOOLTIP_BATTLE_POTION	Kampfzonen-Gefechtstrank	SNA
TOOLTIP_BOW_DISTANCE	Bogenreichweite +%d m	SA
TOOLTIP_BUYPRICE	Preis: %s
TOOLTIP_CAST_SPEED	Zaubergeschwindigkeit +%d%%	SA
TOOLTIP_CON	Vitalität +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostümbonus %d%%	SA
TOOLTIP_DEF_GRADE	Verteidigung +%d	SA
TOOLTIP_DEX	Beweglichkeit +%d	SA
TOOLTIP_EAR	Ohrring
TOOLTIP_ETC	Usw.
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Punkte: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Level: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dem Fischer geben,
TOOLTIP_FISHINGROD_UPGRADE2	um eine bessere
TOOLTIP_FISHINGROD_UPGRADE3	Angelrute zu erhalten.
TOOLTIP_FISH_LEN	Länge: %.2fcm
TOOLTIP_GUILD_SKILL_ACCEL	Beschleunigung +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Segnung des Drachengottes +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Blut des Drachengottes +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Wut des Drachengottes +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Zauberhilfe +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Heilige Rüstung +%d	SA
TOOLTIP_HELMET	Helm
TOOLTIP_HP_REGEN	TP-Regeneration +%d%%	SA
TOOLTIP_INT	Intelligenz +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Angriffswert %d
TOOLTIP_ITEM_ATT_POWER	Angriffswert %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Angriffswert %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Angriffswert %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Angriffsgeschwindigkeit %s
TOOLTIP_ITEM_DEF_GRADE	Verteidigung %d
TOOLTIP_ITEM_FAST	Schnell
TOOLTIP_ITEM_LIMIT_CON	Vitalitätsobergrenze: %d
TOOLTIP_ITEM_LIMIT_DEX	Beweglichkeitsobergrenze: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligenzobergrenze: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Ab Lvl: %d
TOOLTIP_ITEM_LIMIT_STR	Stärkeobergrenze: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magischer Angriffswert %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magischer Angriffswert %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magische Verteidigung %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Langsam
TOOLTIP_ITEM_VERY_FAST	Sehr schnell
TOOLTIP_ITEM_VERY_SLOW	Sehr langsam
TOOLTIP_ITEM_WEARABLE_JOB	[Ausrüstbar]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Glückszahl: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magischer Angriff +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magischer Angriffswert +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magische Verteidigung +%d	SA
TOOLTIP_MALL_ATTBONUS	Angriffswert +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Angriffswert	SNA
TOOLTIP_MALL_AUTOLOOT	Autom. wird das Yang aufgenommen.	SNA
TOOLTIP_MALL_DEFBONUS	Verteidigung +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Verteidigung	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% mehr EXP	SNA
TOOLTIP_MALL_FISH_MIND	Die Chance, einen Fisch zu fangen, ist erhöht.	SNA
TOOLTIP_MALL_GOLDBONUS	Dropchance Yang um %.1f%% erhöht.	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Doppelte Dropchance Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Dropchance von Gegenständen (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Chance auf Erbeuten von Gegenständen plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Doppelte Dropchance von Gegenständen	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Liebespunkte wachsen schneller an.	SNA
TOOLTIP_MALL_SAFEBOX	Es steht mehr Lagerraum zur Verfügung.	SNA
TOOLTIP_MAX_HP	Max. TP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_MAX_SP	Max. MP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Ausdauer +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magie-/Nahkampfangriff +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-FEHLER(%d, %d)
TOOLTIP_MOV_SPEED	Bewegungsgeschw. %d%%	SA
TOOLTIP_NECK	Halskette
TOOLTIP_NEED_ALL_SP	Benötigte MP: Max.
TOOLTIP_NEED_GSP	Benötigter Drachengeist: %d
TOOLTIP_NEED_HP	Benötigte TP: %d
TOOLTIP_NEED_HP_PER_SEC	TP / Sek.: %d
TOOLTIP_NEED_SKILL_POINT	Benötigte Fertigkeitspunkte:
TOOLTIP_NEED_SP	Benötigte MP: %d
TOOLTIP_NEED_SP_PER_SEC	MP / Sek.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Nächstes Level: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Nächstes Level: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Durchschn. Schaden %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Durchschn. Schadenswiderstand %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Mehr als %d Gruppenmitglieder
TOOLTIP_PARTY_INFO_GRADE_UP2	Angriffsstufe +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Verteidigungsstufe +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	TP/MP aller Gruppenmitglieder einmal in 60 Minuten wiederherstellen.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	TP/MP aller Gruppenmitglieder einmal in 30 Minuten wiederherstellen.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Du musst drei Minuten nach dem Tod des Gruppenmitglieds warten.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Du kannst jederzeit Gruppenmitglieder auf dem gleichen Server herbeirufen.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Angriffsstufe +(Anzahl der Gruppenmitgl./2) Angreifer %d können ausgewählt werden.
TOOLTIP_PARTY_INFO_SET_TANKER	Verteidigungsstufe +(Anzahl der Gruppenmitgl.) Nahkämpfer 1 können ausgewählt werden.
TOOLTIP_PARTY_SKILL_LEVEL	Aktuelles Level: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Angriff/Verteidigung verbessert]
TOOLTIP_PARTY_TITLE_HEAL	[Wiederherstellen]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Mehr als %d Gruppenmitglieder gibt Bonus-EXP %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Herbeirufen]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Angreifer festlegen]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Nahkämpfer festlegen]
TOOLTIP_PEPSI_EVENT	5% Chance auf EXP-Bonus und 5% Chance, Gegenstände fallen zu lassen.	SNA
TOOLTIP_PICK_EXP	Punkte: %d / %d
TOOLTIP_PICK_LEVEL	Level: %d
TOOLTIP_PICK_UPGRADE1	Dem Holzfäller geben,
TOOLTIP_PICK_UPGRADE2	um eine bessere
TOOLTIP_PICK_UPGRADE3	Spitzhacke zu erhalten.
TOOLTIP_POTION_CURE	Negative Effekte zurücksetzen.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Angriffsgeschwindigkeit +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	TP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	TP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Bewegungsgeschwindigkeit +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP +%d
TOOLTIP_POTION_SEC	Sek.
TOOLTIP_POTION_TIME	Dauer:
TOOLTIP_REQUIREMENT_21_LEVEL	Du musst Level 21 erreicht haben
TOOLTIP_REQUIREMENT_41_LEVEL	Du musst Level 41 erreicht haben
TOOLTIP_REQUIREMENT_LEVEL	Du musst Level %d erreicht haben
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Level %d erforderlich
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d erforderlich
TOOLTIP_RESIST_BOW	Pfeilwiderstand %d%%	SA
TOOLTIP_RESIST_DARK	Widerstand gegen Dunkelheit +%d%%	SA
TOOLTIP_RESIST_EARTH	Erdwiderstand +%d%%	SA
TOOLTIP_RESIST_ELEC	Blitzwiderstand %d%%	SA
TOOLTIP_RESIST_FIRE	Feuerwiderstand %d%%	SA
TOOLTIP_RESIST_ICE	Eiswiderstand +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magiewiderstand %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Magiebruch um %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Verbleibend: %d
TOOLTIP_SEALED	Seelengebunden
TOOLTIP_SELLPRICE	Preis: %s
TOOLTIP_SET_ITEM	Set-Bonus	SNA
TOOLTIP_SHAMAN	Schamane
TOOLTIP_SHIELD	Schild
TOOLTIP_SHOES	Schuhe
TOOLTIP_SKILL	Fertigkeit	SNA
TOOLTIP_SKILLBOOK_NAME	Fertigkeitsbuch
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Angriffswert: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Angriffswert:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Angriffsgeschwindigkeit: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Verteidigung:
TOOLTIP_SKILL_AFFECT_DODGE	Gegnerischer Angriffswert: -
TOOLTIP_SKILL_AFFECT_HEAL	TP wiederherstellen:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Bewegungsgeschwindigkeit: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance, Nahkampf-Angriff zu reflektieren:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Widerstand gegen körperlichen Schaden:
TOOLTIP_SKILL_COOL_TIME	Aufladezeit: 
TOOLTIP_SKILL_DAMAGE_BONUS	Fertigkeitsschaden %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Widerstand gegen Fertigkeitsschaden %d%%	SA
TOOLTIP_SKILL_DURATION	Dauer: %d Sek.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Buch des Vergessens
TOOLTIP_SKILL_LEVEL	Aktuelles Level: %d
TOOLTIP_SKILL_LEVEL_MASTER	Aktuelles Level: %d (Meister)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktuelles Level: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Leer
TOOLTIP_SOCKET_REFINABLE_ITEM	[Gegenstand mit Fassung]
TOOLTIP_SP_REGEN	MP-Regeneration +%d%%	SA
TOOLTIP_STR	Stärke +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Zeitaufladung %d Sek.	SA
TOOLTIP_TIME_CHARGER_PER	Zeitaufladung %d%%	SA
TOOLTIP_UNIQUE	Einzigartig
TOOLTIP_UNSEAL_LEFT_TIME	Seelenlösung in: %d Std. %d Min.
TOOLTIP_WARRIOR	Krieger
TOOLTIP_WEAPON	Waffe
TOOLTIP_WOLFMAN	Lykaner
TOOLTIP_WRISTLET	Armband
UI_ACCEPT	Annehmen
UI_CANCEL	Abbruch
UI_CLOSE	Schließen
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Ablehnen
UI_ITEM	Gegenstand
UI_LEFT_TIME	Verbleibende Zeit: %d Sek.
UI_NEXT	Weiter
UI_NEXTPAGE	Weiter
UI_NOCONTENTS	Kein Inhalt
UI_NONAME	Kein Name
UI_OK	OK
UI_POS_UNKNOWN	Unbekannter Ort
UI_PREVPAGE	Zurück
UI_UNKNOWN	Unbekannt
UPLOAD_MARK_CHECK_NEED_RECONNECT	Der Upload muss neu gestartet werden.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Der Upload muss neu gestartet werden.
USE_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände verwenden, solange du einen privaten Laden geöffnet hast.
USE_SKILL_ERROR_UNKNOWN	Unbekannter Fertigkeitsfehler: %s
TOOLTIP_ANTI_EXP	Exp erhalten deaktiviert	SNA
MESSENGER_TEAM_GROUP_NAME	Team
TARGET_INFO_RESISTS	Widerstände:
TARGET_INFO_RESISTS_LINE0	Schwert: %d%% | Zweihand: %d%% | Glocke: %d%%
TARGET_INFO_RESISTS_LINE1	Dolche:  %d%% | Fächer:   %d%% | Bogen:  %d%%
TARGET_INFO_REGEN_INFO	TP reg. %d%% alle %d sek.
TARGET_INFO_GOLD_MIN_MAX	Yang: %s ~ %s
TARGET_INFO_DAMAGE	Schlagschaden : %s - %s
TARGET_INFO_DEFENSE	Verteidigung : %s
TARGET_INFO_EXP	Erfahrung : %s
TARGET_INFO_MAINRACE	Rasse : %s
TARGET_INFO_MAX_HP	Max. Trefferpunkte : %s
TARGET_INFO_NO_ITEM_TEXT	Keine verfügbaren Items
TARGET_INFO_NO_RACE	Keine Rasse
TARGET_INFO_NEWRACE_INSECT	Insekt
TARGET_INFO_NEWRACE_FIRE	Feuermonster
TARGET_INFO_NEWRACE_ICE	Eismonster
TARGET_INFO_NEWRACE_DESERT	Wüste
TARGET_INFO_NEWRACE_TREE	Baum
TARGET_INFO_RACE_ANIMAL	Tiere
TARGET_INFO_RACE_DARK	Widerstand gegen Dunkelheit
TARGET_INFO_RACE_DEVIL	Teufel
TARGET_INFO_RACE_EARTH	Erdwiderstand
TARGET_INFO_RACE_ELEC	Blitzwiderstand 
TARGET_INFO_RACE_FIRE	Feuerwiderstand
TARGET_INFO_RACE_HUMAN	Halbmenschen
TARGET_INFO_RACE_ICE	Eiswiderstand
TARGET_INFO_RACE_METIN	Metin-Stein
TARGET_INFO_RACE_MILGYO	Esoterische 
TARGET_INFO_RACE_ORC	Orks
TARGET_INFO_RACE_UNDEAD	Untote
TARGET_INFO_RACE_WIND	Windwiderstand
TARGET_INFO_STONE_NAME	Geiststein
TARGET_INFO_SUBRACE	Untergattung : %s
QUICK_SELL_MESSAGE	Für Schnellverkauf: SHIFT + Rechtsclick
CHANNEL	Channel.
CHANNELING_CANNOT_LOGOUT	Du kannst nicht zum Login-Bildschirm zurückkehren.
CHANNEL_EMPTY_SERVER	Kein Server.
CHANNEL_NORMAL	Channel %d
CHANNEL_NOTIFY_FULL	Dieser CH ist voll! Bitte wähle einen anderen.
CHANNEL_NOT_FIND_INFO	Keine Informationen über den CH gefunden.
CHANNEL_PVP	Du bist gerade in einem Duell. Du kannst den Channel jetzt nicht wechseln.
CHANNEL_SELECT_CHANNEL	Wähle einen Channel aus.
CHANNEL_SELECT_REGION	Wähle die Region aus.
CHANNEL_SELECT_SERVER	Wähle den Server.
CHANNEL_TEST_SERVER	Teste den Server.
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
POLYMORPH_AFFECT_TOOLTIP	Verwandlungskugel	SNA
POLYMORPH_AFFECT_REMOVE_QUESTION	Möchtest du die Verwandlung beenden?
REVIVE_AUTO_TOWN_MESSAGE	Neustart in der Stadt: {}
COMPARE_EQUIPPED	[Ausgerüstet]]
REALLY_WANNA_DELETE_ACCOUNT_DATA	Möchtest du wirklich die Accountdaten löschen?
TIPPING_TEXT	Schreibt.
